"","plant","BR_code","date_time","ShootFW","ShootDW","RootFW","RootDW","spore","rep","plant_name","ASSYST","dpi","RSDW","RSFW","biomass_allocDW","biomass_allocFW"
"47","4","BR7-04133","2015/8/28 00:00:00",219,34.35,37,6.94,"3","3","Kale Ragged Jack","BnASSYST-209","53",0.202037845705968,0.168949771689498,0.16807943812061,0.14453125
"48","4","BR7-04134","2015/8/28 00:00:00",210,28.62,30,4.86,"3","4","Kale Ragged Jack","BnASSYST-209","53",0.169811320754717,0.142857142857143,0.145161290322581,0.125
"49","5","BR7-05111","2015/8/28 00:00:00",180,40.1,46,7.24,"1","1","Kale Siberian","BnASSYST-211","53",0.180548628428928,0.255555555555556,0.152936206168145,0.20353982300885
"50","5","BR7-05112","2015/8/28 00:00:00",169,40.48,33,7.6,"1","2","Kale Siberian","BnASSYST-211","53",0.187747035573123,0.195266272189349,0.158069883527454,0.163366336633663
"51","5","BR7-05113","2015/8/28 00:00:00",165,41.17,38,7.68,"1","3","Kale Siberian","BnASSYST-211","53",0.186543599708526,0.23030303030303,0.157215967246673,0.187192118226601
"52","5","BR7-05114","2015/8/28 00:00:00",195,31.63,26,5.04,"1","4","Kale Siberian","BnASSYST-211","53",0.159342396459058,0.133333333333333,0.137442050722662,0.117647058823529
"53","5","BR7-05121","2015/8/28 00:00:00",196,43.57,42,7.81,"2","1","Kale Siberian","BnASSYST-211","53",0.179251778746844,0.214285714285714,0.152004671078241,0.176470588235294
"54","5","BR7-05122","2015/8/28 00:00:00",186,39.16,38,8.03,"2","2","Kale Siberian","BnASSYST-211","53",0.205056179775281,0.204301075268817,0.17016317016317,0.169642857142857
"55","5","BR7-05123","2015/8/28 00:00:00",193,30.67,33,6.62,"2","3","Kale Siberian","BnASSYST-211","53",0.215846103684382,0.170984455958549,0.177527487262001,0.146017699115044
"56","5","BR7-05124","2015/8/28 00:00:00",179,36.5,33,6.69,"2","4","Kale Siberian","BnASSYST-211","53",0.183287671232877,0.184357541899441,0.154896966890484,0.155660377358491
"57","5","BR7-05131","2015/8/28 00:00:00",211,44.2,37,8.18,"3","1","Kale Siberian","BnASSYST-211","53",0.185067873303167,0.175355450236967,0.156166475754105,0.149193548387097
"58","5","BR7-05132","2015/8/28 00:00:00",193,44.12,41,8.04,"3","2","Kale Siberian","BnASSYST-211","53",0.182230281051677,0.212435233160622,0.154141104294479,0.175213675213675
"59","5","BR7-05133","2015/8/28 00:00:00",169,34.37,35,7.78,"3","3","Kale Siberian","BnASSYST-211","53",0.22636019784696,0.207100591715976,0.184578884934757,0.17156862745098
"60","5","BR7-05134","2015/8/28 00:00:00",200,42.04,36,6.88,"3","4","Kale Siberian","BnASSYST-211","53",0.163653663177926,0.18,0.140637775960752,0.152542372881356
